player,Var.25,tournament name,course,date,purse,season,no_cut,Finish,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
Xander Schauffele,11,Northern Trust Open,"Liberty National - Jersey City, NJ",23/08/2021,9.5,2021,1,T16,0.36,-0.03,1.27,-0.15,1.09,1.45
Zach Johnson,11,Northern Trust Open,"Liberty National - Jersey City, NJ",23/08/2021,9.5,2021,1,T47,0.46,0.32,-0.22,-0.36,-0.26,0.2
AlexÊSmalley,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,NA,NA,NA,NA,NA,NA,NA
Aaron Baddeley,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,-1.03,-1.01,-0.54,-0.92,-2.47,-3.5
Akshay Bhatia,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,-0.76,-1.33,-0.21,-1.21,-2.75,-3.5
Austin Cook,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,-1.72,0.22,-1.61,0.11,-1.28,-3
Austin Eckroat,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T37,0.01,-1.12,1.24,0.68,0.8,0.81
Adam Hadwin,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T10,0.68,-0.04,0.58,0.83,1.38,2.06
Anirban Lahiri,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T46,0.09,-0.33,0.39,0.42,0.47,0.56
Andrew Landry,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T51,0.11,0.23,0.59,-0.61,0.21,0.31
Adam Long,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,0.72,-0.24,0.1,-1.08,-1.22,-0.5
Andrew Putnam,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,-1.06,0.26,-0.47,0.27,0.06,-1
Adam Schenk,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,CUT,0.55,-0.59,-0.99,0.03,-1.55,-1
Adam Scott,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T2,0.21,0.38,1.71,0.27,2.36,2.56
Aaron Wise,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T46,0.72,0.39,0.29,-0.84,-0.16,0.56
Byeong Hun An,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T35,-0.11,0.24,-0.1,1.03,1.18,1.06
Bronson Burgoon,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T60,-0.73,0.3,0.54,-0.55,0.3,-0.44
Brice Garnett,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T51,0.72,-0.42,-0.5,0.51,-0.41,0.31
Brian Gay,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T51,0.47,0.14,-0.87,0.58,-0.16,0.31
Branden Grace,12,Wyndham Championship,"Sedgefield Country Club - Greensboro, NC",15/08/2021,6.4,2021,0,T2,2.18,0.41,0.61,-0.64,0.38,2.56
