Date,^FTSE,^GSPC
23/08/2013,6492.100098,1663.5
27/08/2013,6441,1630.47998
28/08/2013,6430.100098,1634.959961
29/08/2013,6483.100098,1638.170044
30/08/2013,6412.899902,1632.969971
03/09/2013,6468.399902,1639.77002
04/09/2013,6474.700195,1653.079956
05/09/2013,6532.399902,1655.079956
06/09/2013,6547.299805,1655.170044
09/09/2013,6530.700195,1671.709961
10/09/2013,6584,1683.98999
11/09/2013,6588.399902,1689.130005
12/09/2013,6589,1683.420044
13/09/2013,6583.799805,1687.98999
16/09/2013,6622.899902,1697.599976
17/09/2013,6570.200195,1704.76001
18/09/2013,6558.799805,1725.52002
19/09/2013,6625.399902,1722.339966
20/09/2013,6596.399902,1709.910034
23/09/2013,6557.399902,1701.839966
24/09/2013,6571.5,1697.420044
25/09/2013,6551.5,1692.77002
26/09/2013,6565.600098,1698.670044
27/09/2013,6512.700195,1691.75
30/09/2013,6462.200195,1681.550049
01/10/2013,6460,1695
02/10/2013,6437.5,1693.869995
03/10/2013,6449,1678.660034
04/10/2013,6453.899902,1690.5
07/10/2013,6437.299805,1676.119995
08/10/2013,6365.799805,1655.449951
09/10/2013,6337.899902,1656.400024
10/10/2013,6430.5,1692.560059
11/10/2013,6487.200195,1703.199951
14/10/2013,6507.700195,1710.140015
15/10/2013,6549.100098,1698.060059
16/10/2013,6571.600098,1721.540039
17/10/2013,6576.200195,1733.150024
18/10/2013,6622.600098,1744.5
21/10/2013,6654.200195,1744.660034
22/10/2013,6695.700195,1754.670044
23/10/2013,6674.5,1746.380005
24/10/2013,6713.200195,1752.069946
25/10/2013,6721.299805,1759.77002
28/10/2013,6725.799805,1762.109985
29/10/2013,6774.700195,1771.949951
30/10/2013,6777.700195,1763.310059
31/10/2013,6731.399902,1756.540039
01/11/2013,6734.700195,1761.640015
04/11/2013,6763.600098,1767.930054
05/11/2013,6746.799805,1762.969971
06/11/2013,6741.700195,1770.48999
07/11/2013,6697.200195,1747.150024
08/11/2013,6708.399902,1770.609985
11/11/2013,6728.399902,1771.890015
12/11/2013,6726.799805,1767.689941
13/11/2013,6630,1782
14/11/2013,6666.100098,1790.619995
15/11/2013,6693.399902,1798.180054
18/11/2013,6723.5,1791.530029
19/11/2013,6698,1787.869995
20/11/2013,6681.100098,1781.369995
21/11/2013,6681.299805,1795.849976
22/11/2013,6674.299805,1804.76001
25/11/2013,6694.600098,1802.47998
26/11/2013,6636.200195,1802.75
27/11/2013,6649.5,1807.22998
29/11/2013,6650.600098,1805.810059
02/12/2013,6595.299805,1800.900024
03/12/2013,6532.399902,1795.150024
04/12/2013,6510,1792.810059
05/12/2013,6498.299805,1785.030029
06/12/2013,6552,1805.089966
09/12/2013,6559.5,1808.369995
10/12/2013,6523.299805,1802.619995
11/12/2013,6507.700195,1782.219971
12/12/2013,6445.299805,1775.5
13/12/2013,6440,1775.319946
16/12/2013,6522.200195,1786.540039
17/12/2013,6486.200195,1781
18/12/2013,6492.100098,1810.650024
19/12/2013,6584.700195,1809.599976
20/12/2013,6606.600098,1818.319946
23/12/2013,6678.600098,1827.98999
24/12/2013,6694.200195,1833.319946
27/12/2013,6750.899902,1841.400024
30/12/2013,6731.299805,1841.069946
31/12/2013,6749.100098,1848.359985
02/01/2014,6717.899902,1831.97998
03/01/2014,6730.700195,1831.369995
06/01/2014,6730.700195,1826.77002
07/01/2014,6755.5,1837.880005
